Name,Vec
L-Bankssts,0.0
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.0
L-Cuneus,0.0
L-Entorhinal,-0.4156512458593403
L-Frontalpole,0.0
L-Fusiform,0.0
L-Inferiorparietal,0.0
L-Inferiortemporal,0.0
L-Insula,0.0
L-Isthmuscingulate,0.0
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.0
L-Lingual,0.0
L-Medialorbitofrontal,0.0
L-Middletemporal,0.0
L-Paracentral,0.0
L-Parahippocampal,-0.712184854462489
L-Parsopercularis,0.0
L-Parsorbitalis,0.0
L-Parstriangularis,0.0
L-Pericalcarine,0.0
L-Postcentral,0.0
L-Posteriorcingulate,0.0
L-Precentral,-0.659764933384922
L-Precuneus,0.0
L-Rostralanteriorcingulate,0.9436256676557495
L-Rostralmiddlefrontal,0.0
L-Superiorfrontal,0.0
L-Superiorparietal,0.8003973853039701
L-Superiortemporal,0.0
L-Supramarginal,0.0
L-Temporalpole,0.9283700817179663
L-Transversetemporal,0.0
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.0
R-Caudalmiddlefrontal,0.8208373262354483
R-Cuneus,0.0
R-Entorhinal,0.0
R-Frontalpole,0.0
R-Fusiform,0.0
R-Inferiorparietal,0.0
R-Inferiortemporal,-0.5214294202797651
R-Insula,0.0
R-Isthmuscingulate,0.0
R-Lateraloccipital,0.0
R-Lateralorbitofrontal,0.0
R-Lingual,0.0
R-Medialorbitofrontal,0.0
R-Middletemporal,-0.3954381087566773
R-Paracentral,0.0
R-Parahippocampal,0.0
R-Parsopercularis,0.0
R-Parsorbitalis,0.0
R-Parstriangularis,0.0
R-Pericalcarine,0.0
R-Postcentral,0.0
R-Posteriorcingulate,-1.0
R-Precentral,-0.4623780271817536
R-Precuneus,0.0
R-Rostralanteriorcingulate,1.0
R-Rostralmiddlefrontal,0.0
R-Superiorfrontal,0.0
R-Superiorparietal,0.0
R-Superiortemporal,0.0
R-Supramarginal,0.0
R-Temporalpole,0.0
R-Transversetemporal,0.0
