Name,Vec
L-Bankssts,0.0
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.0
L-Cuneus,-0.7365536566694391
L-Entorhinal,-1.0
L-Frontalpole,0.0
L-Fusiform,0.0
L-Inferiorparietal,0.0
L-Inferiortemporal,0.0
L-Insula,0.0
L-Isthmuscingulate,0.0
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.0
L-Lingual,0.0
L-Medialorbitofrontal,1.0
L-Middletemporal,-0.9898167178484427
L-Paracentral,0.0
L-Parahippocampal,0.0
L-Parsopercularis,0.0
L-Parsorbitalis,0.7481339406654066
L-Parstriangularis,0.0
L-Pericalcarine,0.0
L-Postcentral,0.0
L-Posteriorcingulate,-0.6707298410544522
L-Precentral,0.0
L-Precuneus,0.0
L-Rostralanteriorcingulate,0.0
L-Rostralmiddlefrontal,0.0
L-Superiorfrontal,-0.6085873210901582
L-Superiorparietal,0.0
L-Superiortemporal,0.0
L-Supramarginal,0.0
L-Temporalpole,0.0
L-Transversetemporal,0.0
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.0
R-Caudalmiddlefrontal,0.0
R-Cuneus,0.0
R-Entorhinal,0.0
R-Frontalpole,0.0
R-Fusiform,0.0
R-Inferiorparietal,0.0
R-Inferiortemporal,-0.7974825013921183
R-Insula,0.0
R-Isthmuscingulate,-0.8389579379765629
R-Lateraloccipital,0.0
R-Lateralorbitofrontal,0.0
R-Lingual,-0.7878786417633987
R-Medialorbitofrontal,0.0
R-Middletemporal,0.0
R-Paracentral,0.0
R-Parahippocampal,-0.9389547834422978
R-Parsopercularis,0.0
R-Parsorbitalis,0.0
R-Parstriangularis,-0.8012887094006842
R-Pericalcarine,0.0
R-Postcentral,0.0
R-Posteriorcingulate,0.0
R-Precentral,0.0
R-Precuneus,-0.6479343229992337
R-Rostralanteriorcingulate,0.0
R-Rostralmiddlefrontal,0.0
R-Superiorfrontal,0.0
R-Superiorparietal,0.0
R-Superiortemporal,0.0
R-Supramarginal,0.0
R-Temporalpole,0.0
R-Transversetemporal,0.0
