Name,Vec
L-Bankssts,0.0
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.0
L-Cuneus,0.0
L-Entorhinal,1.7597568800392067
L-Frontalpole,0.0
L-Fusiform,0.0
L-Inferiorparietal,0.0
L-Inferiortemporal,0.0
L-Insula,0.0
L-Isthmuscingulate,0.0
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.0
L-Lingual,1.4237348202359565
L-Medialorbitofrontal,1.5788988761671243
L-Middletemporal,0.0
L-Paracentral,0.0
L-Parahippocampal,0.0
L-Parsopercularis,0.0
L-Parsorbitalis,0.0
L-Parstriangularis,0.0
L-Pericalcarine,0.0
L-Postcentral,0.0
L-Posteriorcingulate,0.0
L-Precentral,0.0
L-Precuneus,0.0
L-Rostralanteriorcingulate,1.829905116797359
L-Rostralmiddlefrontal,0.0
L-Superiorfrontal,0.0
L-Superiorparietal,0.0
L-Superiortemporal,0.0
L-Supramarginal,0.0
L-Temporalpole,0.0
L-Transversetemporal,0.0
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.0
R-Caudalmiddlefrontal,2.1167291059096423
R-Cuneus,0.0
R-Entorhinal,0.0
R-Frontalpole,0.0
R-Fusiform,0.0
R-Inferiorparietal,0.0
R-Inferiortemporal,2.096275142410636
R-Insula,0.0
R-Isthmuscingulate,2.092876965372824
R-Lateraloccipital,0.0
R-Lateralorbitofrontal,0.0
R-Lingual,0.0
R-Medialorbitofrontal,0.0
R-Middletemporal,0.0
R-Paracentral,0.0
R-Parahippocampal,2.0185428357614184
R-Parsopercularis,0.0
R-Parsorbitalis,0.0
R-Parstriangularis,1.3062343006867758
R-Pericalcarine,0.0
R-Postcentral,0.0
R-Posteriorcingulate,1.4329440975849805
R-Precentral,0.0
R-Precuneus,1.7984643638532143
R-Rostralanteriorcingulate,1.3545834550201623
R-Rostralmiddlefrontal,0.0
R-Superiorfrontal,0.0
R-Superiorparietal,0.0
R-Superiortemporal,0.0
R-Supramarginal,0.0
R-Temporalpole,0.0
R-Transversetemporal,0.0
