Name,Vec
L-Bankssts,0.0
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.0
L-Cuneus,0.0
L-Entorhinal,1.1822864769803563
L-Frontalpole,0.0
L-Fusiform,0.0
L-Inferiorparietal,0.0
L-Inferiortemporal,0.0
L-Insula,0.0
L-Isthmuscingulate,0.0
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.0
L-Lingual,0.0
L-Medialorbitofrontal,0.0
L-Middletemporal,0.0
L-Paracentral,0.0
L-Parahippocampal,2.148972209019544
L-Parsopercularis,0.0
L-Parsorbitalis,0.0
L-Parstriangularis,0.0
L-Pericalcarine,0.0
L-Postcentral,0.0
L-Posteriorcingulate,0.0
L-Precentral,1.9573469380843194
L-Precuneus,0.0
L-Rostralanteriorcingulate,1.4098761114261122
L-Rostralmiddlefrontal,0.0
L-Superiorfrontal,0.0
L-Superiorparietal,1.0078166656206697
L-Superiortemporal,0.0
L-Supramarginal,0.0
L-Temporalpole,1.363971341028611
L-Transversetemporal,0.0
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.0
R-Caudalmiddlefrontal,1.0612641818054136
R-Cuneus,0.0
R-Entorhinal,0.0
R-Frontalpole,0.0
R-Fusiform,0.0
R-Inferiorparietal,0.0
R-Inferiortemporal,1.494651062377458
R-Insula,0.0
R-Isthmuscingulate,0.0
R-Lateraloccipital,0.0
R-Lateralorbitofrontal,0.0
R-Lingual,0.0
R-Medialorbitofrontal,0.0
R-Middletemporal,1.126617880474615
R-Paracentral,0.0
R-Parahippocampal,0.0
R-Parsopercularis,0.0
R-Parsorbitalis,0.0
R-Parstriangularis,0.0
R-Pericalcarine,0.0
R-Postcentral,0.0
R-Posteriorcingulate,3.3637062645918236
R-Precentral,1.3158949169835172
R-Precuneus,0.0
R-Rostralanteriorcingulate,1.585963425283581
R-Rostralmiddlefrontal,0.0
R-Superiorfrontal,0.0
R-Superiorparietal,0.0
R-Superiortemporal,0.0
R-Supramarginal,0.0
R-Temporalpole,0.0
R-Transversetemporal,0.0
