Name,Vec
L-Bankssts,0.0
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.0
L-Cuneus,1.872753992714974
L-Entorhinal,1.8725170737367083
L-Frontalpole,0.0
L-Fusiform,0.0
L-Inferiorparietal,0.0
L-Inferiortemporal,0.0
L-Insula,0.0
L-Isthmuscingulate,0.0
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.0
L-Lingual,1.3983508483474874
L-Medialorbitofrontal,2.374001545021347
L-Middletemporal,0.0
L-Paracentral,0.0
L-Parahippocampal,0.0
L-Parsopercularis,0.0
L-Parsorbitalis,0.0
L-Parstriangularis,0.0
L-Pericalcarine,0.0
L-Postcentral,0.0
L-Posteriorcingulate,0.0
L-Precentral,0.0
L-Precuneus,1.3822754043951964
L-Rostralanteriorcingulate,0.0
L-Rostralmiddlefrontal,0.0
L-Superiorfrontal,0.0
L-Superiorparietal,0.0
L-Superiortemporal,0.0
L-Supramarginal,0.0
L-Temporalpole,0.0
L-Transversetemporal,0.0
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.0
R-Caudalmiddlefrontal,0.0
R-Cuneus,0.0
R-Entorhinal,0.0
R-Frontalpole,0.0
R-Fusiform,0.0
R-Inferiorparietal,1.3591575964933094
R-Inferiortemporal,1.6658911700811414
R-Insula,0.0
R-Isthmuscingulate,2.1323361644036103
R-Lateraloccipital,0.0
R-Lateralorbitofrontal,0.0
R-Lingual,1.741410021779814
R-Medialorbitofrontal,0.0
R-Middletemporal,0.0
R-Paracentral,0.0
R-Parahippocampal,2.9618963271416083
R-Parsopercularis,0.0
R-Parsorbitalis,0.0
R-Parstriangularis,1.713134825320505
R-Pericalcarine,0.0
R-Postcentral,0.0
R-Posteriorcingulate,0.0
R-Precentral,0.0
R-Precuneus,1.3715743806930123
R-Rostralanteriorcingulate,0.0
R-Rostralmiddlefrontal,0.0
R-Superiorfrontal,0.0
R-Superiorparietal,0.0
R-Superiortemporal,0.0
R-Supramarginal,0.0
R-Temporalpole,0.0
R-Transversetemporal,0.0
