Name,Vec
L-Bankssts,0.0
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.0
L-Cuneus,1.3620451634977457
L-Entorhinal,2.1870062917875663
L-Frontalpole,0.0
L-Fusiform,0.0
L-Inferiorparietal,0.0
L-Inferiortemporal,0.0
L-Insula,0.0
L-Isthmuscingulate,0.0
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.0
L-Lingual,0.0
L-Medialorbitofrontal,2.0403818515563072
L-Middletemporal,2.151500877194229
L-Paracentral,0.0
L-Parahippocampal,0.0
L-Parsopercularis,0.0
L-Parsorbitalis,1.2775126989922474
L-Parstriangularis,0.0
L-Pericalcarine,0.0
L-Postcentral,0.0
L-Posteriorcingulate,1.1858628762413796
L-Precentral,0.0
L-Precuneus,0.0
L-Rostralanteriorcingulate,0.0
L-Rostralmiddlefrontal,0.0
L-Superiorfrontal,1.0302747430229726
L-Superiorparietal,0.0
L-Superiortemporal,0.0
L-Supramarginal,0.0
L-Temporalpole,0.0
L-Transversetemporal,0.0
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.0
R-Caudalmiddlefrontal,0.0
R-Cuneus,0.0
R-Entorhinal,0.0
R-Frontalpole,0.0
R-Fusiform,0.0
R-Inferiorparietal,0.0
R-Inferiortemporal,1.5356813155576081
R-Insula,0.0
R-Isthmuscingulate,1.6597389217363268
R-Lateraloccipital,0.0
R-Lateralorbitofrontal,0.0
R-Lingual,1.5076337966389275
R-Medialorbitofrontal,0.0
R-Middletemporal,0.0
R-Paracentral,0.0
R-Parahippocampal,1.9785556130476443
R-Parsopercularis,0.0
R-Parsorbitalis,0.0
R-Parstriangularis,1.5468676059516124
R-Pericalcarine,0.0
R-Postcentral,0.0
R-Posteriorcingulate,0.0
R-Precentral,0.0
R-Precuneus,1.1275847935019794
R-Rostralanteriorcingulate,0.0
R-Rostralmiddlefrontal,0.0
R-Superiorfrontal,0.0
R-Superiorparietal,0.0
R-Superiortemporal,0.0
R-Supramarginal,0.0
R-Temporalpole,0.0
R-Transversetemporal,0.0
